Feature,Q1,Q3,IQR,Lower Bound,Upper Bound,Outlier Count
Severity,2.0,2.0,0.0,2.0,2.0,1571413
Start_Lat,33.39963125,40.08495875000001,6.685327500000014,23.371639999999978,50.11295000000003,0
Start_Lng,-117.21939625,-80.35367600000002,36.86572024999998,-172.51797662499996,-25.05509562500005,0
End_Lat,33.462069750000005,40.17892,6.716850249999993,23.386794375000015,50.25419537499999,0
End_Lng,-117.7543445,-80.24708600000001,37.50725849999999,-174.01523225,-23.986198250000022,0
Distance(mi),0.0,0.464,0.464,-0.6960000000000001,1.1600000000000001,963606
Temperature(F),49.0,76.0,27.0,8.5,116.5,50515
Wind_Chill(F),43.0,75.0,32.0,-5.0,123.0,43869
Humidity(%),48.0,84.0,36.0,-6.0,138.0,0
Pressure(in),29.37,30.03,0.6600000000000001,28.380000000000003,31.020000000000003,443383
Visibility(mi),10.0,10.0,0.0,10.0,10.0,1481065
Wind_Speed(mph),4.6,10.4,5.800000000000001,-4.100000000000001,19.1,210603
Precipitation(in),0.0,0.0,0.0,0.0,0.0,533090
